"","PlayerID","StuckID","Learned","Level","EventIndex","Content","Start","End","StartorRestart","RuleBreak","Deviation","PassedBoundary","Flag","YouObject","YouRule","TextObstacle","BrokenStop","OutsideText","WinText","Is-Outside","ObjectObstacle","OtherObstacle","modality","LevelID","unique_index"
"41",2,1,"No","01- Where Do I Go?",26,"WallBlock2",6.929,7.201,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"eye",1,41
"42",2,1,"No","01- Where Do I Go?",27,NA,7.237,7.413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"eye",1,42
"43",2,1,"No","01- Where Do I Go?",28,NA,7.425,7.689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"eye",1,43
"44",2,1,"No","01- Where Do I Go?",29,NA,7.721,8.081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"eye",1,44
"45",2,1,"No","01 - Where Do I Go?",19,"change_update_baba:10:14:1",7.77766,7.77766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"log",1,45
"46",2,1,"No","01 - Where Do I Go?",20,"change_update_baba:10:13:1",7.77766,7.77766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"log",1,46
"47",2,1,"No","01 - Where Do I Go?",21,"input_up_",7.77766,7.77766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"log",1,47
"48",2,1,"No","01- Where Do I Go?",30,NA,8.105,8.693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"eye",1,48
"49",2,1,"No","01 - Where Do I Go?",22,"change_update_baba:10:12:1",8.111,8.111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"log",1,49
"50",2,1,"No","01 - Where Do I Go?",23,"input_up_",8.111,8.111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"log",1,50
"51",2,1,"No","01 - Where Do I Go?",24,"change_update_baba:10:11:1",8.42766,8.42766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"log",1,51
"52",2,1,"No","01 - Where Do I Go?",25,"input_up_",8.42766,8.42766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"log",1,52
"53",2,1,"No","01- Where Do I Go?",31,NA,8.841,8.889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"eye",1,53
"54",2,1,"No","01- Where Do I Go?",32,"WallBlock2",8.905,9.105,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"eye",1,54
"55",2,1,"No","01- Where Do I Go?",33,NA,9.129,9.365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"eye",1,55
"56",2,1,"No","01- Where Do I Go?",34,"WallBlock4",9.401,9.593,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"eye",1,56
"57",2,1,"No","01- Where Do I Go?",35,"WallSection7",9.625,9.845,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"eye",1,57
"58",2,1,"No","01- Where Do I Go?",36,"Flag",9.881,10.129,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"eye",1,58
